date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-10-02,RJ,Niterói,city,56023,2369,True,515317,3303302,10871.56061,0.0423
2021-09-16,RJ,Niterói,city,54981,2275,False,515317,3303302,10669.35498,0.0414
2021-09-15,RJ,Niterói,city,54286,2261,False,515317,3303302,10534.48654,0.0416
2021-09-02,RJ,Niterói,city,53407,2243,False,515317,3303302,10363.91192,0.042
2021-09-01,RJ,Niterói,city,53309,2200,False,515317,3303302,10344.8945,0.0413
2021-08-31,RJ,Niterói,city,53120,2200,False,515317,3303302,10308.21805,0.0414
2021-08-30,RJ,Niterói,city,52950,2201,False,515317,3303302,10275.22865,0.0416
2021-08-29,RJ,Niterói,city,52865,2201,False,515317,3303302,10258.73394,0.0416
2021-08-28,RJ,Niterói,city,52768,2201,False,515317,3303302,10239.91058,0.0417
2021-08-27,RJ,Niterói,city,52638,2201,False,515317,3303302,10214.68339,0.0418
2021-08-26,RJ,Niterói,city,52497,2200,False,515317,3303302,10187.32159,0.0419
2021-08-25,RJ,Niterói,city,52350,2128,False,515317,3303302,10158.79546,0.0406
2021-08-24,RJ,Niterói,city,52292,2128,False,515317,3303302,10147.54025,0.0407
2021-08-23,RJ,Niterói,city,52230,2127,False,515317,3303302,10135.50882,0.0407
2021-08-22,RJ,Niterói,city,52192,2127,False,515317,3303302,10128.13472,0.0408
2021-08-21,RJ,Niterói,city,52154,2126,False,515317,3303302,10120.76062,0.0408
2021-08-20,RJ,Niterói,city,52116,2126,False,515317,3303302,10113.38652,0.0408
2021-08-19,RJ,Niterói,city,52065,2126,False,515317,3303302,10103.4897,0.0408
2021-08-18,RJ,Niterói,city,52000,2126,False,515317,3303302,10090.8761,0.0409
2021-08-17,RJ,Niterói,city,51899,2125,False,515317,3303302,10071.27652,0.0409
2021-08-16,RJ,Niterói,city,51800,2125,False,515317,3303302,10052.06504,0.041
2021-08-15,RJ,Niterói,city,51727,2125,False,515317,3303302,10037.899,0.0411
2021-08-14,RJ,Niterói,city,51665,2124,False,515317,3303302,10025.86757,0.0411
2021-08-13,RJ,Niterói,city,51595,2123,False,515317,3303302,10012.2837,0.0411
2021-08-12,RJ,Niterói,city,51495,2123,False,515317,3303302,9992.87817,0.0412
2021-08-11,RJ,Niterói,city,51375,2088,False,515317,3303302,9969.59153,0.0406
2021-08-10,RJ,Niterói,city,51375,2088,False,515317,3303302,9969.59153,0.0406
2021-08-09,RJ,Niterói,city,51375,2088,False,515317,3303302,9969.59153,0.0406
2021-08-08,RJ,Niterói,city,51365,2087,False,515317,3303302,9967.65098,0.0406
2021-08-07,RJ,Niterói,city,51355,2087,False,515317,3303302,9965.71043,0.0406
2021-08-06,RJ,Niterói,city,42655,2047,False,515317,3303302,8277.42923,0.048
2021-08-05,RJ,Niterói,city,42655,2047,False,515317,3303302,8277.42923,0.048
2021-08-04,RJ,Niterói,city,42655,2047,False,515317,3303302,8277.42923,0.048
2021-08-03,RJ,Niterói,city,42529,2047,False,515317,3303302,8252.97826,0.0481
2021-08-02,RJ,Niterói,city,42429,2047,False,515317,3303302,8233.57273,0.0482
2021-08-01,RJ,Niterói,city,42369,2047,False,515317,3303302,8221.92941,0.0483
2021-07-31,RJ,Niterói,city,42299,2047,False,515317,3303302,8208.34554,0.0484
2021-07-30,RJ,Niterói,city,42219,2047,False,515317,3303302,8192.82112,0.0485
2021-07-29,RJ,Niterói,city,42109,2047,False,515317,3303302,8171.47503,0.0486
2021-07-28,RJ,Niterói,city,41999,2000,False,515317,3303302,8150.12895,0.0476
2021-07-27,RJ,Niterói,city,41909,2000,False,515317,3303302,8132.66397,0.0477
2021-07-26,RJ,Niterói,city,41819,2000,False,515317,3303302,8115.19899,0.0478
2021-07-25,RJ,Niterói,city,41764,2000,False,515317,3303302,8104.52595,0.0479
2021-07-24,RJ,Niterói,city,41709,1999,False,515317,3303302,8093.85291,0.0479
2021-07-23,RJ,Niterói,city,41654,1998,False,515317,3303302,8083.17987,0.048
2021-07-22,RJ,Niterói,city,41554,1977,False,515317,3303302,8063.77434,0.0476
2021-07-21,RJ,Niterói,city,41454,1931,False,515317,3303302,8044.36881,0.0466
2021-07-20,RJ,Niterói,city,41454,1931,False,515317,3303302,8044.36881,0.0466
2021-07-18,RJ,Niterói,city,41252,1926,False,515317,3303302,8005.16963,0.0467
2021-07-17,RJ,Niterói,city,41252,1926,False,515317,3303302,8005.16963,0.0467
2021-07-16,RJ,Niterói,city,41123,1924,False,515317,3303302,7980.1365,0.0468
2021-07-15,RJ,Niterói,city,41048,1924,False,515317,3303302,7965.58235,0.0469
2021-07-14,RJ,Niterói,city,40966,1897,False,515317,3303302,7949.66981,0.0463
2021-07-13,RJ,Niterói,city,40899,1897,False,515317,3303302,7936.66811,0.0464
2021-07-12,RJ,Niterói,city,40849,1897,False,515317,3303302,7926.96534,0.0464
